epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10864.4,1.45777,1.37016,1.42649,0.6662,0.58636,0.63578,0.34427,1.55194,1.34261,1.51769,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11885.8,1.4477,1.35022,1.42177,0.67137,0.58788,0.63709,0.34483,1.55637,1.33404,1.52019,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,12748.6,1.43274,1.32424,1.41319,0.66665,0.58687,0.63659,0.34564,1.55764,1.3294,1.52098,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13691.8,1.41912,1.30132,1.4022,0.6745,0.58577,0.63763,0.34642,1.5598,1.32349,1.52243,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,14686.5,1.41562,1.28712,1.40079,0.67463,0.58668,0.63859,0.3467,1.55947,1.32155,1.52277,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,15640.8,1.39543,1.2601,1.38548,0.68671,0.58547,0.64153,0.34732,1.56115,1.3178,1.52536,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,16660.8,1.38288,1.24139,1.38106,0.67778,0.59564,0.64246,0.34688,1.56367,1.3106,1.52864,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,17677.3,1.37569,1.22133,1.37451,0.68007,0.5929,0.64268,0.34737,1.56578,1.30574,1.53077,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,18671.8,1.36681,1.2021,1.36866,0.68163,0.59006,0.64,0.34664,1.56974,1.30395,1.5351,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,19469.6,1.38862,1.14501,1.40772,0.68011,0.59156,0.64091,0.34691,1.56972,1.30187,1.53543,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,20258.8,1.36583,1.11185,1.39656,0.6846,0.58839,0.64069,0.34768,1.57025,1.30136,1.53575,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,21047.1,1.35355,1.08196,1.38451,0.68106,0.59361,0.64137,0.34773,1.57269,1.29896,1.53855,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,21838.2,1.33814,1.05545,1.37297,0.68127,0.59403,0.64145,0.34708,1.57545,1.30146,1.54161,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,22624.4,1.32234,1.03551,1.36294,0.67576,0.59563,0.64069,0.34659,1.57891,1.30188,1.54573,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,23409.7,1.30448,1.01672,1.34924,0.6839,0.59161,0.64068,0.34639,1.58127,1.30249,1.54836,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,24196.7,1.28878,0.99719,1.33999,0.68548,0.59077,0.6391,0.34535,1.58472,1.30246,1.55236,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,24978.5,1.27995,0.97371,1.33262,0.68644,0.59114,0.63847,0.3449,1.58882,1.30359,1.55667,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,25762.8,1.26585,0.95561,1.32371,0.68422,0.5904,0.63863,0.34437,1.59309,1.30424,1.56108,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,26918,1.25681,0.94326,1.31553,0.68743,0.58871,0.63866,0.34412,1.59647,1.30546,1.56454,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
